1,Khalid Zahra,31,Terengganu,FTKEK,4,RM500
2,Nasir Zainab,42,Malacca,FPTT,6,RM500
3,Nik Safiya,43,Selangor,FTMK,8,RM500
4,Grace Haikal,38,Terengganu,FTMK,5,RM1500
5,Omar Williams,29,Kedah,FTKEK,6,RM1500
6,Muhammad Fatimah,44,Malacca,FTMK,5,RM1000
7,Jacob Huda,23,Kedah,FTMK,4,RM1500
8,Rashid Asraf,20,Terengganu,FPTT,9,RM1500
9,Oliver Amina,29,Malacca,FTMK,3,RM500
10,Hassan Naima,47,Terengganu,FPTT,7,RM500
11,Hassan Haikal,35,Selangor,FTKEK,6,RM500
12,James Zahra,20,Malacca,FPTT,3,RM1500
13,Amelia Amina,37,Terengganu,FPTT,7,RM500
14,Noah Sabrina,43,Terengganu,FTMK,3,RM500
15,Muhamad Syerina,38,Selangor,FTKEK,4,RM500
16,Mustafa Zuraini,37,Malacca,FTKEK,6,RM1500
17,Ismail Khadijah,34,Kedah,FTMK,3,RM500
18,Amelia Hall,39,Johor,FPTT,3,RM500
19,Nasir Smith,39,Malacca,FTMK,1,RM1000
20,George Singh,25,Selangor,FTKEK,7,RM500
21,Harry Mastura,25,Kedah,FPTT,2,RM1000
22,George Munira,33,Terengganu,FTKEK,6,RM1000
23,George Zuraini,29,Selangor,FTMK,6,RM1500
24,Jibril Thompson,29,Kedah,FPTT,3,RM1500
25,Muhammad Singh,24,Malacca,FTMK,3,RM1000
26,Raja Green,28,Malacca,FTKEK,3,RM1000
27,Sophie Wilson,22,Terengganu,FTKEK,2,RM1000
28,Wan Najiah,30,Selangor,FTKEK,9,RM1000
29,Isabella Munira,44,Johor,FTMK,4,RM1000
30,Hamza Huda,32,Terengganu,FPTT,8,RM1000
31,Olivia Fatima,20,Johor,FTMK,1,RM1000
32,Jibril Munira,24,Terengganu,FPTT,9,RM1500
33,Ali Lubna,40,Kedah,FTKEK,5,RM500
34,Charlie Syarif,35,Terengganu,FTMK,5,RM500
35,Amelia Safiya,48,Terengganu,FPTT,6,RM500
36,Sulaiman Edwards,38,Terengganu,FTMK,4,RM1000
37,Noah Smith,39,Selangor,FPTT,1,RM1000
38,James Zuraini,46,Malacca,FPTT,8,RM500
39,Emily Haziq,36,Johor,FTMK,1,RM500
40,Sophia Sara,33,Selangor,FPTT,2,RM500
41,Anwar Williams,30,Terengganu,FTKEK,1,RM500
42,Amelia Zahra,27,Selangor,FTMK,7,RM1500
43,Nordin Zainab,45,Terengganu,FPTT,2,RM1000
44,Amelia Zainab,37,Malacca,FPTT,7,RM1500
45,Harry Hana,24,Terengganu,FTKEK,1,RM500
46,Amelia Mariam,45,Malacca,FTKEK,1,RM500
47,Alfie Brown,35,Johor,FTMK,6,RM1000
48,Tengku Yasmin,34,Johor,FTKEK,6,RM500
49,Mahathir Zahra,45,Malacca,FTMK,4,RM1500
50,Ismail Jones,39,Johor,FPTT,4,RM500
51,Anwar Amina,20,Malacca,FTKEK,1,RM500
52,Amelia Brown,30,Selangor,FTMK,3,RM500
53,Alfie Mariam,35,Malacca,FTMK,8,RM500
54,Nordin Zahra,38,Kedah,FPTT,5,RM1000
55,Abdul Zuraidah,42,Johor,FTMK,6,RM1500
56,Muhamad Fatima,28,Kedah,FPTT,8,RM500
57,Olivia Cooper,43,Kedah,FTKEK,3,RM1500
58,Ismail Syarif,28,Malacca,FTKEK,6,RM500
59,Anwar Sara,30,Terengganu,FTKEK,8,RM1000
60,Anwar Nour,22,Selangor,FTKEK,2,RM1000
61,Kasturi Syerina,44,Johor,FTKEK,9,RM1000
62,Jack Syarif,47,Selangor,FTKEK,5,RM1500
63,Anwar Amina,43,Terengganu,FTMK,2,RM1000
64,Mia Davies,19,Selangor,FTKEK,7,RM1500
65,Amelia Hana,39,Malacca,FTMK,8,RM1500
66,Musa Wilson,40,Selangor,FTMK,2,RM1000
67,Jack Hana,19,Johor,FPTT,2,RM500
68,Harry Nour,44,Terengganu,FPTT,8,RM500
69,Muhamad Walker,40,Selangor,FTMK,1,RM1500
70,Nasir Safiya,39,Malacca,FPTT,6,RM500
71,Freddie Syerina,34,Selangor,FTMK,5,RM1500
72,George Zuraini,26,Selangor,FTKEK,7,RM500
73,Ibrahim Yasmin,21,Kedah,FTMK,8,RM1000
74,Jack Mastura,28,Malacca,FPTT,7,RM1500
75,Hamza Murphy,21,Kedah,FPTT,5,RM1000
76,Hassan Zainab,21,Kedah,FTKEK,5,RM500
77,Tariq Khadijah,37,Selangor,FTKEK,6,RM1500
78,Sophia Khairul,28,Selangor,FPTT,2,RM500
79,Poppy Khadijah,40,Malacca,FPTT,3,RM500
80,Harry Lubna,20,Kedah,FTKEK,4,RM500
81,Muhammad Amina,30,Selangor,FPTT,2,RM1000
82,Emily Fatima,47,Terengganu,FTMK,5,RM500
83,Sulaiman Naima,38,Malacca,FTMK,1,RM1500
84,Mustafa Ahnaf,20,Kedah,FTKEK,1,RM1500
85,Alfie Wilson,42,Johor,FTKEK,5,RM500
86,Grace Walker,20,Selangor,FPTT,1,RM1000
87,Emily Wilson,30,Selangor,FTMK,2,RM500
88,Tengku Najiah,23,Kedah,FPTT,7,RM1500
89,Amsyar Sara,27,Terengganu,FTMK,5,RM500
90,Jibril Azlan,41,Selangor,FPTT,8,RM500
91,Hassan Mariam,27,Kedah,FPTT,1,RM1000
92,Kasturi Munira,34,Kedah,FPTT,5,RM1500
93,Amelia Huda,37,Kedah,FTKEK,8,RM500
94,Ava Haziq,29,Selangor,FPTT,6,RM1000
95,Rashid Amina,22,Kedah,FPTT,8,RM1000
96,George Robinson,36,Kedah,FTMK,2,RM500
97,Amelia Fatima,19,Malacca,FTKEK,8,RM1000
98,Muhamad Azlan,22,Kedah,FPTT,9,RM500
99,Ibrahim Taylor,34,Johor,FTMK,8,RM500
100,Grace Davies,48,Johor,FTMK,3,RM500
101,Zayd Patel,29,Terengganu,FTKEK,1,RM500
102,Abdullah Khadijah,26,Johor,FTMK,1,RM1000
103,Anwar Mariam,45,Terengganu,FTMK,2,RM1000
104,Nasir White,29,Selangor,FTKEK,7,RM1500
105,Hamza Brown,27,Terengganu,FPTT,4,RM1000
106,Ahmed Jones,42,Johor,FTKEK,9,RM1500
107,Ali Mastura,40,Johor,FPTT,3,RM1500
108,Omar Zuraini,24,Kedah,FPTT,8,RM1500
109,Sophie Aisha,22,Johor,FTMK,6,RM1500
110,Nik Thompson,20,Kedah,FPTT,2,RM1500
111,James Layla,25,Selangor,FTMK,3,RM1500
112,Sophie Edwards,42,Malacca,FTMK,6,RM1500
113,Grace Haikal,20,Terengganu,FPTT,2,RM500
114,George Taylor,46,Terengganu,FTMK,3,RM500
115,Freddie Haikal,41,Terengganu,FTKEK,6,RM1000
116,Emily Patel,45,Terengganu,FTKEK,9,RM1000
117,Olivia Fatima,43,Malacca,FTMK,3,RM500
118,Adam Yasmin,24,Malacca,FTMK,9,RM1500
119,Ibrahim Walker,32,Malacca,FTKEK,3,RM1500
120,Sophia Evans,22,Selangor,FPTT,5,RM1000
121,George Evans,42,Johor,FTMK,5,RM500
122,Sulaiman Thompson,36,Johor,FTMK,7,RM1500
123,George Cooper,48,Johor,FPTT,5,RM1000
124,Zayd Cooper,24,Selangor,FPTT,3,RM1000
125,Abdullah Masyitah,29,Malacca,FTKEK,3,RM1500
126,Jack Taylor,26,Selangor,FTMK,1,RM500
127,Mustafa Walker,39,Selangor,FTMK,2,RM1500
